Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
1;CASTELBAMBA;RIOBAMBA ;345;10560/05;428 personas;"""C""";RENOVADO 2012;1;38407;19;40970;;;158;38698
2;GOLDEN;ESMERALDA ;1040;10561/05;408 personas;"""C.C""";RENOVADO 2012;3;38407;18;40970;;;98;38572
3;REY CASTRO;PERU ;342;11115/05;901 personas;"""C""";RENOVADO 2012;4;38412;14;40970;;;67;38831
4;LA FRANCE;SARMIENTO ;1656;11117/05;1372 personas;"""C.C""";RENOVADO 2012;5;38412;15;40970;;;136;38624
5;BAHREIN ;LAVALLE ;343;11114/05;880 personas;"""C""";RENOVADO 2012;6;38412;16;40970;;;95;39392
6;BELLA ROMA;ROGELIO YRURTIA;6020;10615/05;900 personas;"""C""";"SUSPENDIDO Disp.108/09 conjunta";7;38413;73;39989;;;86;38891
7;"CLUB SHAMPOO";QUINTANA ;362;10600/05;220 personas;"""C"" ";RENOVADO 2012;8;38413;21;40970;;;88;38560
8;CITY HALL ;AV. MOSCONI ;2883/5;10571/05;1434 personas;"""C""";RENOVADO 2012;9;38414;26;40976;;;77;38530
9;IVANOFF;RIVADAVIA ;7514/18;11153/05;323 personas;"""C.C""";RENOVADO 2012;10;38414;27;40976;;;127;38608
10;"MALUCO BELEZA";SARMIENTO ;1728;11304/05;1076 personas;"""C""";RENOVADO 2012;11;38414;23;40974;;;92;38909
11;XEL - HA;AV SAN M ARTÍN ;6628;10614/05;692 personas;"""C""";RENOVADO 2012;12;38414;43;40987;;;70;38513
12;CLOCHE;J.E. URIBURU;1721;10593/05;588 personas;"""C""";RENOVADO 2012;13;38414;22;40974;;;78;38537
13;SUDACA;SARMIENTO ;1752;10622/05;550 personas;"""C""";RENOVADO 2012;18;38418;28;40976;;;146;38646
14;MOLIERE;BALCARCE ;678/82;10598/05;819 personas;"""C.C""";RENOVADO 2012;19;38420;37;40983;;;25;38786
15;AZUCAR ;AV. CORRIENTES ;3328;12571/05;622 personas;"""c""";RENOVADO 2012;16;38414;87;41082;;;88;38891
16;WESTERN ;F. ALCORTA ;7536;10602/05;320 personas;"""C""";RENOVADO 2012;17;38414;51;40997;;;89;38904
17;GONG;AV. CÓRDOBA ;634;10577/05;100 personas;"""C""";RENOVADO 2012;20;38421;50;40996;;;51;38799
18;RUMI;F. ALCORTA;6438/42;10834/05;765 personas;"""C.C""";RENOVADO 2012;21;38421;31;40977;;;149;38658
19;EVELYN;AV. RIVADAVIA ;7425;10578/05;452 personas;"""C.C""";RENOVADO 2012;22;38421;30;40977;;;135;38624
20;CLUB ONE-STATE-ALSINA;ALSINA ;934/44;10575/05;1900 personas;"""C""";RENOVADO 2012;23;38421;62;41019;;;61;39619
21;NICETO CLUB ;NICETO VEGA ;5508;10592/05;1118 personas;"""C""";RENOVADO 2012;24;38421;25;40974;;;58;38478
22;ASIA DE CUBA;OLGA COSENTTINI;751;10642/05;622 personas;"""C""";RENOVADO 2012;25;38421;32;40977;;;57;39195
